ID,Competitor Name,Sex,Age,Age Grouping,Height,Weight,National Code,Example 1,Example 2,Year,Season,Sport,Event,Medal
1,A Dijiang,MALE,24,18-25,180,80,CHN,4,6,1992,Summer,Basketball,Basketball Men's Basketball,Not Registered
2,A Lamusi,MALE,23,18-25,170,60,CHN,4,6,2012,Summer,Judo,Judo Men's Extra-Lightweight,Not Registered
3,Gunnar Nielsen Aaby,MALE,24,18-25,NULL,NULL,DEN,4,6,1920,Summer,Football,Football Men's Football,Not Registered
4,Edgar Lindenau Aabye,MALE,34,Over 30,NULL,NULL,DEN,4,6,1900,Summer,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
8,"Cornelia ""Cor"" Aalten (-Strannood)",Female,18,18-25,168,NULL,NED,4,6,1932,Summer,Athletics,Athletics Women's 100 metres,Not Registered
8,"Cornelia ""Cor"" Aalten (-Strannood)",Female,18,18-25,168,NULL,NED,4,6,1932,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Not Registered
10,"Einar Ferdinand ""Einari"" Aalto",MALE,26,25-30,NULL,NULL,FIN,4,6,1952,Summer,Swimming,Swimming Men's 400 metres Freestyle,Not Registered
12,Jyri Tapani Aalto,MALE,31,Over 30,172,70,FIN,4,6,2000,Summer,Badminton,Badminton Men's Singles,Not Registered
13,Minna Maarit Aalto,Female,30,25-30,159,55.5,FIN,4,6,1996,Summer,Sailing,Sailing Women's Windsurfer,Not Registered
13,Minna Maarit Aalto,Female,34,Over 30,159,55.5,FIN,4,6,2000,Summer,Sailing,Sailing Women's Windsurfer,Not Registered
15,Arvo Ossian Aaltonen,MALE,22,18-25,NULL,NULL,FIN,4,6,1912,Summer,Swimming,Swimming Men's 200 metres Breaststroke,Not Registered
15,Arvo Ossian Aaltonen,MALE,22,18-25,NULL,NULL,FIN,4,6,1912,Summer,Swimming,Swimming Men's 400 metres Breaststroke,Not Registered
15,Arvo Ossian Aaltonen,MALE,30,25-30,NULL,NULL,FIN,4,6,1920,Summer,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
15,Arvo Ossian Aaltonen,MALE,30,25-30,NULL,NULL,FIN,4,6,1920,Summer,Swimming,Swimming Men's 400 metres Breaststroke,Bronze
15,Arvo Ossian Aaltonen,MALE,34,Over 30,NULL,NULL,FIN,4,6,1924,Summer,Swimming,Swimming Men's 200 metres Breaststroke,Not Registered
17,Paavo Johannes Aaltonen,MALE,28,25-30,175,64,FIN,4,6,1948,Summer,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
17,Paavo Johannes Aaltonen,MALE,28,25-30,175,64,FIN,4,6,1948,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
